Date,Game
19-04-2025,Denver Nuggets & Los Angeles Clippers
19-04-2025,Detroit Pistons & New York Knicks
19-04-2025,Indiana Pacers & Milwaukee Bucks
19-04-2025,Los Angeles Lakers & Minnesota Timberwolves
20-04-2025,Boston Celtics & Orlando Magic
20-04-2025,Cleveland Cavaliers & Miami Heat
20-04-2025,Golden State Warriors & Houston Rockets
20-04-2025,Memphis Grizzlies & Oklahoma City Thunder
21-04-2025,Denver Nuggets & Los Angeles Clippers
21-04-2025,Detroit Pistons & New York Knicks
22-04-2025,Indiana Pacers & Milwaukee Bucks
22-04-2025,Los Angeles Lakers & Minnesota Timberwolves
22-04-2025,Memphis Grizzlies & Oklahoma City Thunder
23-04-2025,Boston Celtics & Orlando Magic
23-04-2025,Cleveland Cavaliers & Miami Heat
23-04-2025,Golden State Warriors & Houston Rockets
24-04-2025,Denver Nuggets & Los Angeles Clippers
24-04-2025,Detroit Pistons & New York Knicks
24-04-2025,Memphis Grizzlies & Oklahoma City Thunder
25-04-2025,Boston Celtics & Orlando Magic
25-04-2025,Indiana Pacers & Milwaukee Bucks
25-04-2025,Los Angeles Lakers & Minnesota Timberwolves
26-04-2025,Cleveland Cavaliers & Miami Heat
26-04-2025,Denver Nuggets & Los Angeles Clippers
26-04-2025,Golden State Warriors & Houston Rockets
26-04-2025,Memphis Grizzlies & Oklahoma City Thunder
27-04-2025,Boston Celtics & Orlando Magic
27-04-2025,Detroit Pistons & New York Knicks
27-04-2025,Indiana Pacers & Milwaukee Bucks
27-04-2025,Los Angeles Lakers & Minnesota Timberwolves
28-04-2025,Cleveland Cavaliers & Miami Heat
28-04-2025,Golden State Warriors & Houston Rockets
28-04-2025,Memphis Grizzlies & Oklahoma City Thunder
29-04-2025,Boston Celtics & Orlando Magic
29-04-2025,Denver Nuggets & Los Angeles Clippers
29-04-2025,Detroit Pistons & New York Knicks
29-04-2025,Indiana Pacers & Milwaukee Bucks
30-04-2025,Cleveland Cavaliers & Miami Heat
30-04-2025,Golden State Warriors & Houston Rockets
30-04-2025,Los Angeles Lakers & Minnesota Timberwolves
30-04-2025,Memphis Grizzlies & Oklahoma City Thunder
01-05-2025,Boston Celtics & Orlando Magic
01-05-2025,Denver Nuggets & Los Angeles Clippers
01-05-2025,Detroit Pistons & New York Knicks
01-05-2025,Indiana Pacers & Milwaukee Bucks
01-05-2025,Indiana Pacers & New York Knicks
02-05-2025,Cleveland Cavaliers & Miami Heat
02-05-2025,Golden State Warriors & Houston Rockets
02-05-2025,Los Angeles Lakers & Minnesota Timberwolves
03-05-2025,Boston Celtics & Orlando Magic
03-05-2025,Denver Nuggets & Los Angeles Clippers
03-05-2025,Detroit Pistons & New York Knicks
03-05-2025,Indiana Pacers & Milwaukee Bucks
04-05-2025,Cleveland Cavaliers & Indiana Pacers
04-05-2025,Cleveland Cavaliers & Miami Heat
04-05-2025,Golden State Warriors & Houston Rockets
04-05-2025,Los Angeles Lakers & Minnesota Timberwolves
05-05-2025,Boston Celtics & New York Knicks
05-05-2025,Denver Nuggets & Oklahoma City Thunder
06-05-2025,Cleveland Cavaliers & Indiana Pacers
06-05-2025,Golden State Warriors & Minnesota Timberwolves
07-05-2025,Boston Celtics & New York Knicks
07-05-2025,Denver Nuggets & Oklahoma City Thunder
08-05-2025,Golden State Warriors & Minnesota Timberwolves
09-05-2025,Cleveland Cavaliers & Indiana Pacers
09-05-2025,Denver Nuggets & Oklahoma City Thunder
10-05-2025,Boston Celtics & New York Knicks
10-05-2025,Golden State Warriors & Minnesota Timberwolves
11-05-2025,Cleveland Cavaliers & Indiana Pacers
11-05-2025,Denver Nuggets & Oklahoma City Thunder
12-05-2025,Boston Celtics & New York Knicks
12-05-2025,Golden State Warriors & Minnesota Timberwolves
13-05-2025,Cleveland Cavaliers & Indiana Pacers
13-05-2025,Denver Nuggets & Oklahoma City Thunder
14-05-2025,Boston Celtics & New York Knicks
14-05-2025,Golden State Warriors & Minnesota Timberwolves
15-05-2025,Cleveland Cavaliers & Indiana Pacers
15-05-2025,Denver Nuggets & Oklahoma City Thunder
16-05-2025,Boston Celtics & New York Knicks
17-05-2025,Cleveland Cavaliers & Indiana Pacers
17-05-2025,Golden State Warriors & Minnesota Timberwolves
18-05-2025,Boston Celtics & New York Knicks
18-05-2025,Denver Nuggets & Oklahoma City Thunder
19-05-2025,Golden State Warriors & Minnesota Timberwolves
20-05-2025,Minnesota Timberwolves & Oklahoma City Thunder
21-05-2025,Indiana Pacers & New York Knicks
22-05-2025,Minnesota Timberwolves & Oklahoma City Thunder
23-05-2025,Indiana Pacers & New York Knicks
24-05-2025,Minnesota Timberwolves & Oklahoma City Thunder
25-05-2025,Indiana Pacers & New York Knicks
26-05-2025,Minnesota Timberwolves & Oklahoma City Thunder
27-05-2025,Indiana Pacers & New York Knicks
28-05-2025,Minnesota Timberwolves & Oklahoma City Thunder
29-05-2025,Indiana Pacers & New York Knicks
30-05-2025,Minnesota Timberwolves & Oklahoma City Thunder
31-05-2025,Indiana Pacers & New York Knicks
02-06-2025,Minnesota Timberwolves & Oklahoma City Thunder
04-06-2025,Minnesota Timberwolves & Oklahoma City Thunder
05-06-2025,Indiana Pacers & Oklahoma City Thunder
08-06-2025,Indiana Pacers & Oklahoma City Thunder
11-06-2025,Indiana Pacers & Oklahoma City Thunder
13-06-2025,Indiana Pacers & Oklahoma City Thunder
16-06-2025,Indiana Pacers & Oklahoma City Thunder
19-06-2025,Indiana Pacers & Oklahoma City Thunder
22-06-2025,Indiana Pacers & Oklahoma City Thunder
